City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,umea,63.8284,20.2597,14.96,88,75,6.69,SE,1722507454
323,labytnangi,66.6572,66.4183,21.47,72,87,6.15,RU,1722507455
324,chibougamau,49.9168,-74.3659,14.79,100,20,1.54,CA,1722507456
325,sakaraha,-22.9,44.5333,24.74,24,0,4.69,MG,1722507457
326,zaozersk,69.4005,32.4476,12.03,91,100,6.55,RU,1722507458
327,gaiman,-43.2897,-65.4929,12.4,43,100,7.57,AR,1722507459
328,praia,14.9215,-23.5087,27.3,65,40,5.14,CV,1722507316
329,thunder bay,48.4001,-89.3168,17.95,100,75,0.0,CA,1722507461
330,sur,22.5667,59.5289,33.69,53,30,3.59,OM,1722507462
331,alice springs,-23.7,133.8833,14.75,21,0,3.6,AU,1722507464
332,kenai,60.5544,-151.2583,11.03,71,0,1.54,US,1722507465
333,sinaloa de leyva,25.8333,-108.2333,26.04,74,100,1.3,MX,1722507466
334,tazovsky,67.4667,78.7,17.84,77,98,3.13,RU,1722507467
335,mejit,10.2753,170.8646,28.36,80,7,5.32,MH,1722507468
336,kharp,66.8014,65.8081,20.69,78,82,5.29,RU,1722507469
337,ji'an,27.1172,114.9793,33.36,59,77,5.05,CN,1722507470
338,fort mcmurray,56.7268,-111.381,14.73,82,0,4.63,CA,1722507471
339,thurso,58.5927,-3.5259,14.14,70,89,2.05,GB,1722507472
340,coyhaique,-45.5752,-72.0662,2.34,99,100,0.8,CL,1722507390
341,la ronge,55.1001,-105.2842,16.14,82,20,5.66,CA,1722507474
342,princeville,45.7668,-61.2985,21.16,96,100,3.09,CA,1722507475
343,mariental,-24.6333,17.9667,16.74,15,0,2.43,NA,1722507476
344,dubbo,-32.25,148.6167,6.07,75,1,3.09,AU,1722507477
345,berdigestyakh,62.0989,126.6992,16.13,40,98,3.64,RU,1722507479
346,guajara mirim,-10.7828,-65.3394,22.87,53,29,1.28,BR,1722507480
347,beau vallon,-20.4189,57.6953,25.18,57,20,4.12,MU,1722507482
348,gisborne,-38.6533,178.0042,10.91,76,100,8.32,NZ,1722507190
349,khorixas,-20.3667,14.9667,22.66,18,0,2.69,NA,1722507484
350,la palma,33.8464,-118.0467,17.74,88,0,2.57,US,1722507485
351,holualoa,19.6228,-155.9522,20.32,95,99,2.37,US,1722507486
352,yelizovo,53.1873,158.3805,14.08,100,75,3.0,RU,1722507487
353,pachino,36.7186,15.0907,28.14,58,0,4.37,IT,1722507488
354,bucerias,20.75,-105.3333,27.21,85,100,3.21,MX,1722507416
355,saint-leu,-21.15,55.2833,23.99,87,18,2.58,RE,1722507490
356,griffith,41.5284,-87.4237,21.74,96,0,1.54,US,1722507491
357,zeya,53.75,127.2667,20.82,49,2,2.46,RU,1722507492
358,el charco,2.4769,-78.1105,23.92,94,100,2.28,CO,1722507494
359,christchurch,-43.5333,172.6333,2.27,89,94,1.54,NZ,1722506742
360,jucurutu,-6.0339,-37.0203,24.65,61,35,8.0,BR,1722507496
361,loreto,22.2667,-101.9667,14.47,86,6,2.03,MX,1722507497
